brand, product_name, ship
 GIGABYTE: Brand,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| GV-N207SWF3OC-8GD,: ProductFree Shipping: Shipping charge
MSI: Brand,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,: ProductFree Shipping: Shipping charge
EVGA: Brand,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate,: Product$3.99 Shipping: Shipping charge
ASUS: Brand,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,: ProductFree Shipping: Shipping charge
GIGABYTE: Brand,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD Video Card,: ProductFree Shipping: Shipping charge
MSI: Brand,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card,: ProductFree Shipping: Shipping charge
EVGA: Brand,EVGA GeForce RTX 2080 SUPER KO GAMING Video Card| 08G-P4-2083-KR| 8GB GDDR6| Dual Fans,: Product$6.99 Shipping: Shipping charge
Sapphire Tech: Brand,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,: ProductFree Shipping: Shipping charge
ASUS: Brand,ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition Graphics Card (DUAL-GTX1660S-O6G-EVO),: Product$3.99 Shipping: Shipping charge
Sapphire Tech: Brand,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 11296-01-20G Video Card,: Product$3.99 Shipping: Shipping charge
XFX: Brand,XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,: ProductFree Shipping: Shipping charge
ASRock: Brand,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card,: ProductFree Shipping: Shipping charge
